sets,artist,venue,month,day,year,song_num
Santa Claus Is Coming to Town,Jennifer Lopez,"Saturday Night Live, New York, NY, USA",Dec,7,2019,1
Baila conmigo,Jennifer Lopez,"American Airlines Arena, Miami, FL, USA",Nov,2,2019,1
Si una vez,Jennifer Lopez,"American Airlines Arena, Miami, FL, USA",Nov,2,2019,2
Te boté,Jennifer Lopez,"American Airlines Arena, Miami, FL, USA",Nov,2,2019,3
Te gusté,Jennifer Lopez,"American Airlines Arena, Miami, FL, USA",Nov,2,2019,4
El anillo,Jennifer Lopez,"American Airlines Arena, Miami, FL, USA",Nov,2,2019,5
Medicine,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,2
Get Right,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,3
Dinero,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,4
I'm Real,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,5
Ain't It Funny,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,6
Jenny From the Block,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,7
Si una vez,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,8
Limitless / Titanium,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,9
Ain't Your Mama,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,10
All I Have,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,11
Te boté,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,12
Te gusté,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,13
El anillo,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,14
Waiting for Tonight,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,15
Dance Again,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,16
On the Floor,Jennifer Lopez,"VTB Arena, Moscow, Russia",Aug,4,2019,17
Medicine,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,1
Love Don't Cost a Thing,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,2
Get Right,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,3
Dinero,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,4
I'm Real (Murder Remix),Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,5
Ain't It Funny (Murder Remix),Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,6
Jenny From the Block,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,7
Si una vez,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,8
Limitless / Titanium,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,9
Ain't Your Mama,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,10
All I Have,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,11
Te boté,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,12
Te gusté,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,13
El anillo,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,14
Waiting for Tonight,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,15
Dance Again,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,16
On the Floor,Jennifer Lopez,"Park HaYarkon, Tel Aviv, Israel",Aug,1,2019,17
Medicine,Jennifer Lopez,"American Airlines Arena, Miami, FL, USA",Jul,27,2019,1
