sets,artist,venue,month,day,year,song_num
She Wolf,Shakira,"Caja Mágica, Madrid, Spain",Nov,24,2019,1
Tutu,Shakira,"Caja Mágica, Madrid, Spain",Nov,24,2019,2
La La La (Brazil 2014),Shakira,"Caja Mágica, Madrid, Spain",Nov,24,2019,3
Estoy aquí / ¿Dónde estás corazón?,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,1
Loba,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,2
Si te vas,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,3
Nada,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,4
Perro fiel,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,5
Underneath Your Clothes,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,6
Me enamoré,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,7
Inevitable,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,8
Chantaje,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,9
"Suerte (Whenever, Wherever)",Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,10
Tú,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,11
Amarillo,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,12
La tortura,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,13
Antología,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,14
Can't Remember to Forget You,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,15
Loca / Rabiosa,Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,16
La La La (Brazil 2014) / Waka Waka (Esto es África),Shakira,"Parque Simón Bolívar, Bogotá, Colombia",Nov,3,2018,17
